Trace Name,Result Code,Fixpoint (ms),Termination (ms),Nontermination (ms),ULR-Baseline (ms),P-ULR-Par4,PaSTTeL Status,Stem Size,Loop Size,Total Size Trace,Algo
ATVA2026_benchmark/BOOLEAN_OP//lasso_traces_AliasDarteFeautrierGonnord-SAS2010-Fig2b_true-termination.c/lasso_trace_10.txt,TERMINATING,0.37,63.95,26.89,91.21,5,TERMINATING,14,11,25,Affine Template / Affine Template
ATVA2026_benchmark/BOOLEAN_OP//lasso_traces_AliasDarteFeautrierGonnord-SAS2010-Fig2b_true-termination.c/lasso_trace_11.txt,TERMINATING,0.28,124.93,54.52,179.73,5,TERMINATING,21,11,32,Affine Template / Affine Template
ATVA2026_benchmark/BOOLEAN_OP//lasso_traces_AliasDarteFeautrierGonnord-SAS2010-Fig2b_true-termination.c/lasso_trace_12.txt,TERMINATING,0.32,118.42,164.99,283.73,7,TERMINATING,14,13,27,Affine Template / 2-5-Nested Template
ATVA2026_benchmark/BOOLEAN_OP//lasso_traces_AliasDarteFeautrierGonnord-SAS2010-Fig2b_true-termination.c/lasso_trace_13.txt,TERMINATING,0.33,96.77,85.85,182.95,5,TERMINATING,18,13,31,Affine Template / Affine Template
ATVA2026_benchmark/BOOLEAN_OP//lasso_traces_AliasDarteFeautrierGonnord-SAS2010-Fig2b_true-termination.c/lasso_trace_14.txt,TERMINATING,0.35,114.13,47.02,161.5,4,TERMINATING,25,4,29,Affine Template / Affine Template
ATVA2026_benchmark/BOOLEAN_OP//lasso_traces_AliasDarteFeautrierGonnord-SAS2010-Fig2b_true-termination.c/lasso_trace_15.txt,TERMINATING,0.34,123.82,42.24,166.4,5,TERMINATING,25,15,40,Affine Template / Affine Template
ATVA2026_benchmark/BOOLEAN_OP//lasso_traces_AliasDarteFeautrierGonnord-SAS2010-Fig2b_true-termination.c/lasso_trace_2.txt,TERMINATING,2.31,76.44,62.38,141.13,5,TERMINATING,5,4,9,Affine Template / Affine Template
ATVA2026_benchmark/BOOLEAN_OP//lasso_traces_AliasDarteFeautrierGonnord-SAS2010-Fig2b_true-termination.c/lasso_trace_3.txt,TERMINATING,0.48,1856.12,110.7,1967.3,-,NOT_SUPPORTED,7,5,12,2-Phase Template
ATVA2026_benchmark/BOOLEAN_OP//lasso_traces_AliasDarteFeautrierGonnord-SAS2010-Fig2b_true-termination.c/lasso_trace_4.txt,TERMINATING,0.44,62.97,36.9,100.31,5,TERMINATING,8,2,10,Affine Template / Affine Template
ATVA2026_benchmark/BOOLEAN_OP//lasso_traces_AliasDarteFeautrierGonnord-SAS2010-Fig2b_true-termination.c/lasso_trace_5.txt,TERMINATING,0.37,122.09,84.06,206.52,10,TERMINATING,13,5,18,Affine Template / Affine Template
ATVA2026_benchmark/BOOLEAN_OP//lasso_traces_AliasDarteFeautrierGonnord-SAS2010-Fig2b_true-termination.c/lasso_trace_6.txt,TERMINATING,0.3,68.19,106.93,175.42,5,TERMINATING,15,4,19,Affine Template / Affine Template
ATVA2026_benchmark/BOOLEAN_OP//lasso_traces_AliasDarteFeautrierGonnord-SAS2010-Fig2b_true-termination.c/lasso_trace_7.txt,TERMINATING,0.38,1735.81,123.94,1860.13,-,NOT_SUPPORTED,16,5,21,2-Phase Template
ATVA2026_benchmark/BOOLEAN_OP//lasso_traces_AliasDarteFeautrierGonnord-SAS2010-Fig2b_true-termination.c/lasso_trace_8.txt,TERMINATING,0.35,125.8,140.5,266.65,5,TERMINATING,17,2,19,Affine Template / Affine Template
ATVA2026_benchmark/BOOLEAN_OP//lasso_traces_AliasDarteFeautrierGonnord-SAS2010-Fig2b_true-termination.c/lasso_trace_9.txt,TERMINATING,0.33,95.49,94.37,190.19,5,TERMINATING,19,4,23,Affine Template / Affine Template
ATVA2026_benchmark/BOOLEAN_OP//lasso_traces_GulwaniJainKoskinen-PLDI2009-Fig1.c/lasso_trace_1.txt,UNKNOWN,0.46,7813.88,78.12,-,-,-,8,2,10,-
ATVA2026_benchmark/BOOLEAN_OP//lasso_traces_GulwaniJainKoskinen-PLDI2009-Fig1_no-overflow.c/lasso_trace_1.txt,UNKNOWN,0.48,7896.5,77.14,-,-,-,8,2,10,-
ATVA2026_benchmark/BOOLEAN_OP//lasso_traces_GulwaniJainKoskinen-PLDI2009-Fig1_true-termination.c/lasso_trace_1.txt,UNKNOWN,0.43,7714.99,88.22,-,-,-,8,2,10,-
ATVA2026_benchmark/BOOLEAN_OP//lasso_traces_Primes_true-unreach-call.c/lasso_trace_1.txt,INFEASIBLE,0,0,0,-,-,-,9,15,24,-
ATVA2026_benchmark/BOOLEAN_OP//lasso_traces_Primes_true-unreach-call.c/lasso_trace_11.txt,NONTERMINATING,1.35,0,0,1.35,1,NONTERMINATING,36,10,46,Fixpoint / Fixpoint
ATVA2026_benchmark/BOOLEAN_OP//lasso_traces_Primes_true-unreach-call.c/lasso_trace_2.txt,INFEASIBLE,0,0,0,-,-,-,9,16,25,-
ATVA2026_benchmark/BOOLEAN_OP//lasso_traces_Primes_true-unreach-call.c/lasso_trace_3.txt,INFEASIBLE,1.73,28.19,35.03,-,-,-,9,25,34,-
